text,category
does applebees in trenton do reservations,accept_reservations
does redrobin take reservations,accept_reservations
do they take reservations at state bird,accept_reservations
does gramercy tavern accept reservations,accept_reservations
does black rock take reservations,accept_reservations
i think my account is block but i am not sure why,account_blocked
i'm confused about the reason for my bank account being frozen,account_blocked
how come a hold was placed on my 401k account,account_blocked
why is there a hold on my edward jones account,account_blocked
can you find out why is my bank account frozen,account_blocked
set alarm for 5pm,alarm
would you set my alarm for 10:00 and another for 3:00,alarm
can you make an alarm for 7 am,alarm
set my alarm for 5pm,alarm
set an alarm for me for 10:00 and another one set for 4:00,alarm
please find out the current status of my credit card application,application_status
could you check and see if my credit card application has been processed and approved or not,application_status
do you know if my amex card app went through,application_status
please check the status of my mastercard application,application_status
can you update me on the status of my american express card application,application_status
"what is the apr on my amex card, please",apr
how good is card apr,apr
do i have a good apr on my credit card,apr
how much is my amex's apr,apr
how much is the apr these days on my nordstrom credit card,apr
do you identify as a human or computer,are_you_a_bot
do you consider yourself a bot,are_you_a_bot
do you think you are a bot,are_you_a_bot
are you real or are you an ai,are_you_a_bot
are you a bot or a real person,are_you_a_bot
is there enough money in my bank of hawaii for vacation,balance
check my visa account and see if i have enough money for dinner tonight,balance
i wanna know the balance of my bank of american account,balance
how much money do i have in my account,balance
what's my checking balance,balance
how much on bills to i have to pay,bill_balance
tell me how much my verizon and comcast bill come to together,bill_balance
how much is my comcast bill,bill_balance
can you tell me the total cost of my bills please,bill_balance
how much is my electric bill for this month,bill_balance
when's the gas bill due,bill_due
when do i owe the state payment for my car tags,bill_due
i would like to know when the bill is due,bill_due
what date do i have to pay my bill,bill_due
what is the latest date that i can pay my direct tv bill this month,bill_due
please get me a flight booked from miami to dallas on american airlines,book_flight
get me a flight for tuesday on spiritcom to las vegas from chicago,book_flight
help me find a roundtrip flight for may 7th through the 20th from pittsburgh to chicago,book_flight
i need to take a flight from florida to alabama on january 25th and i need to get back by the 30th,book_flight
use delta to book me a flight from dallas to pittsburgh,book_flight
help me find a good reviews hotel in la,book_hotel
hotel room for 5 in austin for 3/1 until 3/8,book_hotel
"please book a hotel in ny, close to brooklyn, on the 25th to 30th",book_hotel
"i'd like a placed booked in san diego from may 1st, 2020 to june 2nd, 2020",book_hotel
find me a hotel in kansas city with good reviews,book_hotel
what is the square root of 5,calculator
what is the area of a 20 x 20 room,calculator
what is the square root of 1 million,calculator
what is an 18 percent tip on 20 dollars,calculator
what is 606 divided by 5,calculator
what do i have on my calendar for february 8,calendar
is there an event titled anniversary dinner on my calendar,calendar
is my daughter's birthday on my calendar,calendar
"can you tell me what's on my calendar for march 05, 2019",calendar
what is showing on my calendar for the 17th of march,calendar
add jake's birthday party for friday at 5,calendar_update
delete the hair appointment i had scheduled on may 1st pleae,calendar_update
"i want the events on my calendar for march 20th, 2019 to be cleared",calendar_update
i need a clear calendar for april 15,calendar_update
please remove fishing from my calendar for soccer,calendar_update
what's the caloric content in a bowl of rice crispies with milk,calories
how many calories on average are in a hot dog,calories
how many calories are in vanilla ice cream,calories
what's the amount of calories in a cheesy omelette,calories
looks up the calories in cheetos,calories
can you switch off,cancel
can you please cancel,cancel
mute,cancel
abort running program,cancel
refrain from talking,cancel
something's come up so i need to cancel my reservation so now,cancel_reservation
cancel my reservation for 3 at carlos jr,cancel_reservation
"i made a reservation for chris at tony's, please cancel it",cancel_reservation
can i cancel my reservations,cancel_reservation
can you cancel my reservation for dinner tomorrow,cancel_reservation
i want to rent a car in boston for march 2 until march 4,car_rental
i want to rent a bmw suv for dallas from march 2 to 6th,car_rental
"can you see if i can rent a car from dallas on the dates of march 1, 2019 to march 3, 2019",car_rental
"id like a car rental between january 1st to the 3rd in denver, id like a ford",car_rental
make sure i can rent one car out of chicago from january 2 to january 5,car_rental
i was trying to buy qtips at walmart and my card got declined,card_declined
can you tell me why my card was declined yesterday,card_declined
i was at walmart when my card was declined i was only trying to buy some candy,card_declined
why did my card not get accepted then,card_declined
i was at safeway trying to buy groceries and my card got declined,card_declined
what are the carry-on limits for flying domestically with delta,carry_on
"when taking a flight with lion to singapore, how many carry ons are allowed",carry_on
"when taking a flight with porter to toronto, how many carry ons can i take",carry_on
i need to know the carry on policy for american airlines flights,carry_on
what is the carry on limit,carry_on
can i get you to talk like a pouty english guy,change_accent
please use male voice instead,change_accent
use your male voice,change_accent
can you change the way you talk to a male british voice,change_accent
set to female voice,change_accent
i want to start calling you bob,change_ai_name
i want to change the name i call you to juan,change_ai_name
i would like to change your name to eli,change_ai_name
change your name setting to plato,change_ai_name
"if i may, i'd like to call you slave",change_ai_name
can you talk to me in chinese,change_language
i need to change my speaking to spanish,change_language
set your language setting to english,change_language
change the language you're using to american english,change_language
change your language,change_language
can you speak faster please,change_speed
where do i find instructions on how to speed up voice replies,change_speed
speak slower,change_speed
speed up your speech,change_speed
speak at a slower rate,change_speed
can you call me something else,change_user_name
call me frank,change_user_name
i go by the name jim,change_user_name
just call me dennis,change_user_name
i'd like you to call me something different,change_user_name
please increase the volume to 4,change_volume
